,Timestamp,Provider,Plant,Actual Vol [Kg],Expected Vol [Kg]
138,2016/04,Provider_1,Plant_4,3244807,3025498
139,2016/05,Provider_1,Plant_4,2752581,2621727
140,2016/06,Provider_1,Plant_4,3857524,3589304
141,2016/07,Provider_1,Plant_4,3160663,3020704
142,2016/08,Provider_1,Plant_4,3713892,3552990
143,2016/09,Provider_1,Plant_4,3596451,3264010
144,2016/10,Provider_1,Plant_4,3292185,3246732
145,2016/11,Provider_1,Plant_4,2482422,2342916
146,2016/12,Provider_1,Plant_4,1387060,1345414
147,2017/01,Provider_1,Plant_4,1428577,1382511
148,2017/02,Provider_1,Plant_4,1417010,1296601
149,2017/03,Provider_1,Plant_4,1442644,1339299
150,2017/04,Provider_1,Plant_4,1076604,1038441
151,2017/05,Provider_1,Plant_4,1352537,1208658
152,2017/06,Provider_1,Plant_4,1626668,1889105
153,2017/07,Provider_1,Plant_4,1537554,1450847
154,2017/08,Provider_1,Plant_4,1603312,1468988
155,2017/09,Provider_1,Plant_4,1585591,1481135
156,2017/10,Provider_1,Plant_4,1653244,1551059
157,2017/11,Provider_1,Plant_4,1773707,1600523
158,2017/12,Provider_1,Plant_4,1218199,1165930
159,2018/01,Provider_1,Plant_4,2100055,2034669
160,2018/02,Provider_1,Plant_4,2128723,2031264
161,2018/03,Provider_1,Plant_4,2488227,2324528
162,2015/09,Provider_1,Plant_5,46264,16352
163,2015/10,Provider_1,Plant_5,52651,28981
164,2015/11,Provider_1,Plant_5,47145,29652
165,2015/12,Provider_1,Plant_5,86819,21454
166,2016/01,Provider_1,Plant_5,52255,27516
167,2016/02,Provider_1,Plant_5,55531,30188
168,2016/03,Provider_1,Plant_5,73153,36406
169,2016/04,Provider_1,Plant_5,68043,31783
170,2016/05,Provider_1,Plant_5,71514,33270
171,2016/06,Provider_1,Plant_5,74918,42096
172,2016/07,Provider_1,Plant_5,70331,27856
173,2016/08,Provider_1,Plant_5,59409,27653
174,2016/09,Provider_1,Plant_5,60896,34932
175,2016/10,Provider_1,Plant_5,87168,39884
176,2016/11,Provider_1,Plant_5,78573,43069
177,2016/12,Provider_1,Plant_5,49567,20822
178,2017/01,Provider_1,Plant_5,82943,33191
179,2017/02,Provider_1,Plant_5,79630,32029
180,2017/03,Provider_1,Plant_5,96050,44131
181,2017/04,Provider_1,Plant_5,72960,37331
182,2017/05,Provider_1,Plant_5,108529,62404
183,2017/06,Provider_1,Plant_5,100485,57319
184,2017/07,Provider_1,Plant_5,86804,61515
185,2017/08,Provider_1,Plant_5,75759,61842
186,2017/09,Provider_1,Plant_5,108689,92549
187,2017/10,Provider_1,Plant_5,105461,78107
188,2017/11,Provider_1,Plant_5,115609,"82748,497"
189,2017/12,Provider_1,Plant_5,60501,54346
190,2018/01,Provider_1,Plant_5,102629,82183
191,2018/02,Provider_1,Plant_5,101002,79363
192,2018/03,Provider_1,Plant_5,117046,102194
193,2014/01,Provider_1,Plant_6,121793,77737
194,2014/02,Provider_1,Plant_6,132040,67607
195,2014/03,Provider_1,Plant_6,121984,60040
196,2014/04,Provider_1,Plant_6,113829,51161
197,2014/05,Provider_1,Plant_6,101182,50747
198,2014/06,Provider_1,Plant_6,120256,64470
199,2014/07,Provider_1,Plant_6,110490,48564
200,2014/08,Provider_1,Plant_6,93532,43169
201,2014/09,Provider_1,Plant_6,103741,51092
202,2014/10,Provider_1,Plant_6,132425,74090
203,2014/11,Provider_1,Plant_6,117781,56325
204,2014/12,Provider_1,Plant_6,79215,31932
205,2015/01,Provider_1,Plant_6,114669,47475
206,2015/02,Provider_1,Plant_6,131459,62839
207,2015/03,Provider_1,Plant_6,129280,71287
208,2015/04,Provider_1,Plant_6,115744,56278
209,2015/05,Provider_1,Plant_6,88639,46005
210,2015/06,Provider_1,Plant_6,93839,49876
211,2015/07,Provider_1,Plant_6,88969,56597
212,2015/08,Provider_1,Plant_6,46492,26985
213,2015/09,Provider_1,Plant_6,185557,123706
214,2015/10,Provider_1,Plant_6,150812,104835
215,2015/11,Provider_1,Plant_6,198944,126430
216,2015/12,Provider_1,Plant_6,144025,77092
217,2016/01,Provider_1,Plant_6,119914,61882
218,2016/02,Provider_1,Plant_6,150664,62736
219,2016/03,Provider_1,Plant_6,161059,88930
220,2016/04,Provider_1,Plant_6,143174,97765
221,2016/05,Provider_1,Plant_6,220903,116966
222,2016/06,Provider_1,Plant_6,182778,107427
223,2016/07,Provider_1,Plant_6,218693,104778
224,2016/08,Provider_1,Plant_6,138392,75692
225,2016/09,Provider_1,Plant_6,162330,85733
226,2016/10,Provider_1,Plant_6,129242,77040
227,2016/11,Provider_1,Plant_6,176572,109713
228,2016/12,Provider_1,Plant_6,84554,53233
229,2017/01,Provider_1,Plant_6,139721,95356
230,2017/02,Provider_1,Plant_6,133370,79271
231,2017/03,Provider_1,Plant_6,146423,"91172,432"
232,2017/04,Provider_1,Plant_6,124860,73510
233,2017/05,Provider_1,Plant_6,115156,78786
234,2017/06,Provider_1,Plant_6,126000,63605
235,2017/07,Provider_1,Plant_6,129980,89484
236,2017/08,Provider_1,Plant_6,123471,88523
237,2017/09,Provider_1,Plant_6,87703,70489
238,2017/10,Provider_1,Plant_6,114800,85001
239,2017/11,Provider_1,Plant_6,111278,72988
240,2017/12,Provider_1,Plant_6,72201,59073
241,2018/01,Provider_1,Plant_6,105229,80116
242,2018/02,Provider_1,Plant_6,102572,80494
243,2018/03,Provider_1,Plant_6,100261,84310
319,2014/01,Provider_1,Plant_9,296299,163461
320,2014/02,Provider_1,Plant_9,328507,192407
321,2014/03,Provider_1,Plant_9,390700,274148
322,2014/04,Provider_1,Plant_9,519500,206389
323,2014/05,Provider_1,Plant_9,559460,299049
324,2014/06,Provider_1,Plant_9,426974,278309
325,2014/07,Provider_1,Plant_9,326103,169165
326,2014/08,Provider_1,Plant_9,359730,197994
327,2014/09,Provider_1,Plant_9,335465,180812
328,2014/10,Provider_1,Plant_9,414778,213288
329,2014/11,Provider_1,Plant_9,346699,216218
330,2014/12,Provider_1,Plant_9,316768,254574
331,2015/01,Provider_1,Plant_9,299271,301345
332,2015/02,Provider_1,Plant_9,420173,419713
333,2015/03,Provider_1,Plant_9,309596,311107
334,2015/04,Provider_1,Plant_9,394692,357537
335,2015/05,Provider_1,Plant_9,408209,392486
336,2015/06,Provider_1,Plant_9,479006,483154
337,2015/07,Provider_1,Plant_9,498230,473190
338,2015/08,Provider_1,Plant_9,444001,432244
339,2015/09,Provider_1,Plant_9,509038,507136
340,2015/10,Provider_1,Plant_9,569107,307746
341,2015/11,Provider_1,Plant_9,967664,311150
342,2015/12,Provider_1,Plant_9,475084,324417
343,2016/01,Provider_1,Plant_9,339383,229539
344,2016/02,Provider_1,Plant_9,521518,344857
345,2016/03,Provider_1,Plant_9,439273,309659
346,2016/04,Provider_1,Plant_9,508554,286359
347,2016/05,Provider_1,Plant_9,438554,436391
348,2016/06,Provider_1,Plant_9,572132,556194
349,2016/07,Provider_1,Plant_9,377690,378675
350,2016/08,Provider_1,Plant_9,455313,435414
351,2016/09,Provider_1,Plant_9,470819,452072
352,2016/10,Provider_1,Plant_9,244074,206227
353,2016/11,Provider_1,Plant_9,371935,364545
354,2016/12,Provider_1,Plant_9,189339,180697
355,2017/01,Provider_1,Plant_9,347992,329218
356,2017/02,Provider_1,Plant_9,462215,428128
357,2017/03,Provider_1,Plant_9,534589,495651
358,2017/04,Provider_1,Plant_9,446716,448722
359,2017/05,Provider_1,Plant_9,618996,555482
360,2017/06,Provider_1,Plant_9,603345,528761
361,2017/07,Provider_1,Plant_9,611434,544301
362,2017/08,Provider_1,Plant_9,564359,515600
363,2017/09,Provider_1,Plant_9,583061,566345
364,2017/10,Provider_1,Plant_9,434790,388191
365,2017/11,Provider_1,Plant_9,436489,430731
366,2017/12,Provider_1,Plant_9,331154,325877
367,2018/01,Provider_1,Plant_9,588307,533528
368,2018/02,Provider_1,Plant_9,518570,518735
369,2018/03,Provider_1,Plant_9,651774,559520
370,2014/01,Provider_1,Plant_10,113999,111176
371,2014/02,Provider_1,Plant_10,101774,98532
372,2014/03,Provider_1,Plant_10,111829,108772
373,2014/04,Provider_1,Plant_10,103742,96451
374,2014/05,Provider_1,Plant_10,118498,113244
375,2014/06,Provider_1,Plant_10,125475,116713
376,2014/07,Provider_1,Plant_10,32647,27731
377,2014/08,Provider_1,Plant_10,38912,34832
378,2014/09,Provider_1,Plant_10,42822,37838
379,2014/10,Provider_1,Plant_10,33029,28189
380,2014/11,Provider_1,Plant_10,29175,25332
381,2014/12,Provider_1,Plant_10,28322,26657
382,2015/01,Provider_1,Plant_10,35177,35096
383,2015/02,Provider_1,Plant_10,36897,36877
384,2015/03,Provider_1,Plant_10,47654,48706
385,2015/04,Provider_1,Plant_10,45278,45752
386,2015/05,Provider_1,Plant_10,36216,35956
387,2015/06,Provider_1,Plant_10,44361,39503
388,2015/07,Provider_1,Plant_10,41113,35976
389,2015/08,Provider_1,Plant_10,36655,32639
390,2015/09,Provider_1,Plant_10,47283,40826
391,2015/10,Provider_1,Plant_10,51205,45883
392,2015/11,Provider_1,Plant_10,49223,43456
393,2015/12,Provider_1,Plant_10,39335,34464
394,2016/01,Provider_1,Plant_10,36441,32929
395,2016/02,Provider_1,Plant_10,51969,46283
396,2016/03,Provider_1,Plant_10,46879,40469
397,2016/04,Provider_1,Plant_10,55822,46898
398,2016/05,Provider_1,Plant_10,47503,40360
399,2016/06,Provider_1,Plant_10,56948,46888
400,2016/07,Provider_1,Plant_10,63184,50589
401,2016/08,Provider_1,Plant_10,22139,16974
402,2016/09,Provider_1,Plant_10,67319,54110
403,2016/10,Provider_1,Plant_10,55871,46056
404,2016/11,Provider_1,Plant_10,65549,52382
405,2016/12,Provider_1,Plant_10,48912,39747
406,2017/01,Provider_1,Plant_10,35444,28522
407,2017/02,Provider_1,Plant_10,61467,49745
408,2017/03,Provider_1,Plant_10,72002,60197
409,2017/04,Provider_1,Plant_10,18723,13521
410,2017/05,Provider_1,Plant_10,53141,43895
411,2017/06,Provider_1,Plant_10,72016,63543
412,2017/07,Provider_1,Plant_10,57096,47978
413,2017/08,Provider_1,Plant_10,56080,0
414,2017/09,Provider_1,Plant_10,44459,35895
415,2017/10,Provider_1,Plant_10,63466,69174
416,2017/11,Provider_1,Plant_10,79589,65597
417,2017/12,Provider_1,Plant_10,44395,37500
418,2018/01,Provider_1,Plant_10,23428,34824
419,2018/02,Provider_1,Plant_10,56779,45517
420,2018/03,Provider_1,Plant_10,65759,92167
421,2015/01,Provider_1,Plant_11,10855,13373
422,2015/08,Provider_1,Plant_11,3649,
423,2015/09,Provider_1,Plant_11,163900,137941
424,2015/10,Provider_1,Plant_11,213866,169567
425,2015/11,Provider_1,Plant_11,223598,171782
426,2015/12,Provider_1,Plant_11,133720,114020
427,2016/01,Provider_1,Plant_11,258017,212482
428,2016/02,Provider_1,Plant_11,252715,210722
429,2016/03,Provider_1,Plant_11,186226,165459
430,2016/04,Provider_1,Plant_11,202859,178224
431,2016/05,Provider_1,Plant_11,236663,194472
432,2016/06,Provider_1,Plant_11,311391,249803
433,2016/07,Provider_1,Plant_11,299128,233739
434,2016/08,Provider_1,Plant_11,333822,274720
435,2016/09,Provider_1,Plant_11,335834,252181
436,2016/10,Provider_1,Plant_11,285415,215593
437,2016/11,Provider_1,Plant_11,299685,229837
438,2016/12,Provider_1,Plant_11,152500,118102
439,2017/01,Provider_1,Plant_11,296018,226335
440,2017/02,Provider_1,Plant_11,292254,210898
441,2017/03,Provider_1,Plant_11,324996,245322
442,2017/04,Provider_1,Plant_11,252321,196189
443,2017/05,Provider_1,Plant_11,294613,224785
444,2017/06,Provider_1,Plant_11,260182,210889
445,2017/07,Provider_1,Plant_11,292775,237155
446,2017/08,Provider_1,Plant_11,303591,279105
447,2017/09,Provider_1,Plant_11,314951,298463
448,2017/10,Provider_1,Plant_11,245564,211474
449,2017/11,Provider_1,Plant_11,285376,213226
450,2017/12,Provider_1,Plant_11,160277,124634
451,2018/01,Provider_1,Plant_11,262980,240528
452,2018/02,Provider_1,Plant_11,263386,229016
453,2018/03,Provider_1,Plant_11,254279,232508
454,2014/01,Provider_1,Plant_12,445329,334553
455,2014/02,Provider_1,Plant_12,447590,350807
456,2014/03,Provider_1,Plant_12,520453,418550
457,2014/04,Provider_1,Plant_12,509462,370472
458,2014/05,Provider_1,Plant_12,537858,401506
459,2014/06,Provider_1,Plant_12,452957,342953
460,2014/07,Provider_1,Plant_12,544352,376609
461,2014/08,Provider_1,Plant_12,471243,330283
462,2014/09,Provider_1,Plant_12,520321,363278
463,2014/10,Provider_1,Plant_12,464450,323545
464,2014/11,Provider_1,Plant_12,487817,321318
465,2014/12,Provider_1,Plant_12,370611,254735
466,2015/01,Provider_1,Plant_12,487913,353980
467,2015/02,Provider_1,Plant_12,494479,351591
468,2015/03,Provider_1,Plant_12,557509,380742
469,2015/04,Provider_1,Plant_12,488173,351742
470,2015/05,Provider_1,Plant_12,407821,278911
471,2015/06,Provider_1,Plant_12,544611,359300
472,2015/07,Provider_1,Plant_12,506167,362347
473,2015/08,Provider_1,Plant_12,464396,311100
474,2015/09,Provider_1,Plant_12,559076,365476
475,2015/10,Provider_1,Plant_12,477353,329877
476,2015/11,Provider_1,Plant_12,488435,332556
477,2015/12,Provider_1,Plant_12,384308,250587
478,2016/01,Provider_1,Plant_12,415408,265804
479,2016/02,Provider_1,Plant_12,517056,370959
480,2016/03,Provider_1,Plant_12,535204,353079
481,2016/04,Provider_1,Plant_12,551985,361017
482,2016/05,Provider_1,Plant_12,505344,327447
483,2016/06,Provider_1,Plant_12,575853,363904
484,2016/07,Provider_1,Plant_12,503858,320687
485,2016/08,Provider_1,Plant_12,547904,362868
486,2016/09,Provider_1,Plant_12,603847,397861
487,2016/10,Provider_1,Plant_12,575840,380558
488,2016/11,Provider_1,Plant_12,572285,366018
489,2016/12,Provider_1,Plant_12,476472,297773
490,2017/01,Provider_1,Plant_12,446793,325190
491,2017/02,Provider_1,Plant_12,522191,374233
492,2017/03,Provider_1,Plant_12,594408,456158
493,2017/04,Provider_1,Plant_12,442172,437036
494,2017/05,Provider_1,Plant_12,480507,487734
495,2017/06,Provider_1,Plant_12,437603,435120
496,2017/07,Provider_1,Plant_12,449403,451138
497,2017/08,Provider_1,Plant_12,526399,"518210,158"
498,2017/09,Provider_1,Plant_12,412119,411574
499,2017/10,Provider_1,Plant_12,496536,513218
500,2017/11,Provider_1,Plant_12,478340,506016
501,2017/12,Provider_1,Plant_12,363403,374131
502,2018/01,Provider_1,Plant_12,448137,446569
503,2018/02,Provider_1,Plant_12,506650,529761
504,2018/03,Provider_1,Plant_12,536729,542661
505,2014/01,Provider_1,Plant_13,1004567,935063
506,2014/02,Provider_1,Plant_13,983519,893412
507,2014/03,Provider_1,Plant_13,864972,748344
508,2014/04,Provider_1,Plant_13,740641,672584
509,2014/05,Provider_1,Plant_13,716764,643799
510,2014/06,Provider_1,Plant_13,660710,564247
511,2014/07,Provider_1,Plant_13,522871,443357
512,2014/08,Provider_1,Plant_13,352709,272462
513,2014/09,Provider_1,Plant_13,494827,415536
514,2014/10,Provider_1,Plant_13,598297,493115
515,2014/11,Provider_1,Plant_13,540335,453963
516,2014/12,Provider_1,Plant_13,312882,267290
517,2015/01,Provider_1,Plant_13,377860,304894
518,2015/02,Provider_1,Plant_13,559889,469738
519,2015/03,Provider_1,Plant_13,665244,557591
520,2015/04,Provider_1,Plant_13,568103,437019
521,2015/05,Provider_1,Plant_13,434344,368382
522,2015/06,Provider_1,Plant_13,580450,450665
523,2015/07,Provider_1,Plant_13,604235,512856
524,2015/08,Provider_1,Plant_13,411498,343713
525,2015/09,Provider_1,Plant_13,493428,417371
526,2015/10,Provider_1,Plant_13,666469,526500
527,2015/11,Provider_1,Plant_13,499710,441447
528,2015/12,Provider_1,Plant_13,346098,281584
529,2016/01,Provider_1,Plant_13,759494,611329
530,2016/02,Provider_1,Plant_13,1085550,865371
531,2016/03,Provider_1,Plant_13,937039,"830825,712"
532,2016/04,Provider_1,Plant_13,1057223,1027268
533,2016/05,Provider_1,Plant_13,882882,861547
534,2016/06,Provider_1,Plant_13,1064624,939023
535,2016/07,Provider_1,Plant_13,779624,763672
536,2016/08,Provider_1,Plant_13,1141343,1137187
537,2016/09,Provider_1,Plant_13,1173034,1143231
538,2016/10,Provider_1,Plant_13,1078085,1013831
539,2016/11,Provider_1,Plant_13,936048,878419
540,2016/12,Provider_1,Plant_13,342839,333022
541,2017/01,Provider_1,Plant_13,464320,412834
542,2017/02,Provider_1,Plant_13,488571,468741
543,2017/03,Provider_1,Plant_13,208851,203063
544,2017/04,Provider_1,Plant_13,190619,186806
545,2017/05,Provider_1,Plant_13,419318,349815
546,2017/06,Provider_1,Plant_13,271639,266676
547,2017/07,Provider_1,Plant_13,344623,309288
548,2017/08,Provider_1,Plant_13,198918,190155
549,2017/09,Provider_1,Plant_13,355298,342485
550,2017/10,Provider_1,Plant_13,381655,397467
551,2017/11,Provider_1,Plant_13,400319,357103
552,2017/12,Provider_1,Plant_13,231949,227780
553,2018/01,Provider_1,Plant_13,193295,184985
554,2018/02,Provider_1,Plant_13,219391,209213
555,2018/03,Provider_1,Plant_13,256873,229151
556,2014/01,Provider_1,Plant_14,323199,340357
557,2014/02,Provider_1,Plant_14,324220,334645
558,2014/03,Provider_1,Plant_14,327675,337570
559,2014/04,Provider_1,Plant_14,307638,309547
560,2014/05,Provider_1,Plant_14,308108,299198
561,2014/06,Provider_1,Plant_14,248684,257667
562,2014/07,Provider_1,Plant_14,265154,280171
563,2014/08,Provider_1,Plant_14,324804,343193
564,2014/09,Provider_1,Plant_14,342807,368087
565,2014/10,Provider_1,Plant_14,318105,328906
566,2014/11,Provider_1,Plant_14,346677,349953
567,2014/12,Provider_1,Plant_14,140009,135458
568,2015/01,Provider_1,Plant_14,186,182
569,2015/11,Provider_1,Plant_14,729,977
570,2016/01,Provider_1,Plant_14,400,"212,2"
571,2016/02,Provider_1,Plant_14,10482,"10122,972"
572,2016/03,Provider_1,Plant_14,24867,26832
573,2016/04,Provider_1,Plant_14,58065,58167
574,2016/05,Provider_1,Plant_14,29028,29828
575,2016/06,Provider_1,Plant_14,111112,112623
576,2016/07,Provider_1,Plant_14,387557,389198
577,2016/08,Provider_1,Plant_14,416891,411652
578,2016/09,Provider_1,Plant_14,441718,423407
579,2016/10,Provider_1,Plant_14,396781,407688
580,2016/11,Provider_1,Plant_14,445425,449579
581,2016/12,Provider_1,Plant_14,245368,256331
582,2017/01,Provider_1,Plant_14,336997,320077
583,2017/02,Provider_1,Plant_14,389760,367630
584,2017/03,Provider_1,Plant_14,438969,414459
585,2017/04,Provider_1,Plant_14,349658,"325592,172"
586,2017/05,Provider_1,Plant_14,375378,"348392,08"
587,2017/06,Provider_1,Plant_14,418016,"408150,875"
588,2017/07,Provider_1,Plant_14,343605,341228
589,2017/08,Provider_1,Plant_14,455502,419528
590,2017/09,Provider_1,Plant_14,492102,464012
591,2017/10,Provider_1,Plant_14,458863,"369427,624"
592,2017/11,Provider_1,Plant_14,410978,393170
593,2017/12,Provider_1,Plant_14,313249,291232
594,2018/01,Provider_1,Plant_14,465626,422982
595,2018/02,Provider_1,Plant_14,435656,435819
596,2018/03,Provider_1,Plant_14,476398,476816
597,2014/01,Provider_1,Plant_15,249228,246688
598,2014/02,Provider_1,Plant_15,311896,312794
599,2014/03,Provider_1,Plant_15,368203,360087
600,2014/04,Provider_1,Plant_15,267893,284370
601,2014/05,Provider_1,Plant_15,296374,310158
602,2014/06,Provider_1,Plant_15,233667,243851
603,2014/07,Provider_1,Plant_15,263603,317221
604,2014/08,Provider_1,Plant_15,240393,255132
605,2014/09,Provider_1,Plant_15,271354,258430
606,2014/10,Provider_1,Plant_15,275681,273972
607,2014/11,Provider_1,Plant_15,306575,309659
608,2014/12,Provider_1,Plant_15,221469,220592
609,2015/01,Provider_1,Plant_15,216929,210330
610,2015/02,Provider_1,Plant_15,209911,215931
611,2015/03,Provider_1,Plant_15,220482,224927
612,2015/04,Provider_1,Plant_15,292245,300477
613,2015/05,Provider_1,Plant_15,211718,211510
614,2015/06,Provider_1,Plant_15,242157,246880
615,2015/07,Provider_1,Plant_15,289235,300371
616,2015/08,Provider_1,Plant_15,280207,287368
617,2015/09,Provider_1,Plant_15,258017,260703
618,2015/10,Provider_1,Plant_15,257678,257275
619,2015/11,Provider_1,Plant_15,279354,279547
620,2015/12,Provider_1,Plant_15,218455,217970
621,2016/01,Provider_1,Plant_15,232620,232254
622,2016/02,Provider_1,Plant_15,294169,299141
623,2016/03,Provider_1,Plant_15,231645,233014
624,2016/04,Provider_1,Plant_15,255162,259208
625,2016/05,Provider_1,Plant_15,234987,241465
626,2016/06,Provider_1,Plant_15,348441,358739
627,2016/07,Provider_1,Plant_15,357227,367007
628,2016/08,Provider_1,Plant_15,405841,417768
629,2016/09,Provider_1,Plant_15,378685,391216
630,2016/10,Provider_1,Plant_15,322968,331235
631,2016/11,Provider_1,Plant_15,372369,381546
632,2016/12,Provider_1,Plant_15,191261,195137
633,2017/01,Provider_1,Plant_15,294447,301982
634,2017/02,Provider_1,Plant_15,366573,386996
635,2017/03,Provider_1,Plant_15,385369,405140
636,2017/04,Provider_1,Plant_15,279436,287618
637,2017/05,Provider_1,Plant_15,338412,348347
638,2017/06,Provider_1,Plant_15,286487,296414
639,2017/07,Provider_1,Plant_15,310523,317041
640,2017/08,Provider_1,Plant_15,401364,376003
641,2017/09,Provider_1,Plant_15,393896,402978
642,2017/10,Provider_1,Plant_15,401695,414397
643,2017/11,Provider_1,Plant_15,373561,377626
644,2017/12,Provider_1,Plant_15,234016,239220
645,2018/01,Provider_1,Plant_15,314378,313296
646,2018/02,Provider_1,Plant_15,347318,"343957,299"
647,2018/03,Provider_1,Plant_15,365276,"374661,352"
699,2014/01,Provider_1,Plant_17,285808,263338
700,2014/02,Provider_1,Plant_17,305645,282373
701,2014/03,Provider_1,Plant_17,371417,408082
702,2014/04,Provider_1,Plant_17,377229,341004
